Quote,Author
"“Women and cats will do as they please, and men and dogs should relax and get used to the idea.”",Robert A. Heinlein
"“We don't see things as they are, we see them as we are.”",Anaïs Nin
"“You love me. Real or not real?"" I tell him, ""Real.”","Suzanne Collins,"
"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",Bob Marley
“Sometimes the questions are complicated and the answers are simple.”,Dr. Seuss
“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis
“Never trust anyone who has not brought a book with them.”,"Lemony Snicket,"
“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw
“We read to know we're not alone.”,"William Nicholson,"
"“Sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book.”","John Green,"
“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz
“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson
"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”","J.K. Rowling,"
"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”","Dr. Seuss,"
“I'm not afraid of death; I just don't want to be there when it happens.”,Woody Allen
"“If one cannot enjoy reading a book over and over again, there is no use in reading it at all.”",Oscar Wilde
"“To the well-organized mind, death is but the next great adventure.”","J.K. Rowling,"
"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",Albert Einstein
"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all—in which case, you fail by default.”",J.K. Rowling
"“I'm in love with you,"" he said quietly. ""Augustus,"" I said. ""I am,"" he said. He was staring at me, and I could see the corners of his eyes crinkling. ""I'm in love with you, and I'm not in the business of denying myself the simple pleasure of saying true things. I'm in love with you, and I know that love is just a shout into the void, and that oblivion is inevitable, and that we're all doomed and that there will come a day when all our labor has been returned to dust, and I know the sun will swallow the only earth we'll ever have, and I am in love with you.”","John Green,"
“Logic will get you from A to Z; imagination will get you everywhere.”,Albert Einstein
"“I am nothing special, of this I am sure. I am a common man with common thoughts and I've led a common life. There are no monuments dedicated to me and my name will soon be forgotten, but I've loved another with all my heart and soul, and to me, this has always been enough..”","Nicholas Sparks,"
"“Whenever I feel the need to exercise, I lie down until it goes away.”",Paul   Terry
"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley
“Sometimes people are beautiful. Not in looks. Not in what they say. Just in what they are.”,"Markus Zusak,"
"“Have you fallen in love with the wrong person yet?' Jace said, ""Unfortunately, Lady of the Haven, my one true love remains myself."" ...""At least,"" she said, ""you don't have to worry about rejection, Jace Wayland."" ""Not necessarily. I turn myself down occasionally, just to keep it interesting.”","Cassandra Clare,"
"“Love looks not with the eyes, but with the mind; And therefore is wing'd Cupid painted blind. Nor hath love's mind of any judgment taste; Wings and no eyes figure unheedy haste: And therefore is love said to be a child, Because in choice he is so oft beguil'd.”","William Shakespeare,"
“You don't get to choose if you get hurt in this world...but you do have some say in who hurts you. I like my choices.”,"John Green,"
"“Do what you can, with what you have, where you are.”",Theodore Roosevelt
“Folks are usually about as happy as they make their minds up to be.”,Abraham Lincoln
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”","Dr. Seuss,"
“There is no friend as loyal as a book.”,Ernest Hemingway
"“Success is not final, failure is not fatal: it is the courage to continue that counts.”",Winston S. Churchill
“The story so far: In the beginning the Universe was created. This has made a lot of people very angry and been widely regarded as a bad move.”,"Douglas Adams,"
"“One good thing about music, when it hits you, you feel no pain.”",Bob Marley
"“I find television very educating. Every time somebody turns on the set, I go into the other room and read a book.”",Groucho Marx
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”","Jane Austen,"
"“So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be.”","Stephen Chbosky,"
"“Love is like the wind, you can't see it but you can feel it.”","Nicholas Sparks,"
"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller
“Not all of us can do great things. But we can do small things with great love.”,Mother Teresa
"“Listen to the mustn'ts, child. Listen to the don'ts. Listen to the shouldn'ts, the impossibles, the won'ts. Listen to the never haves, then listen close to me... Anything can happen, child. Anything can be.”",Shel Silverstein
“Some people never go crazy. What truly horrible lives they must lead.”,Charles Bukowski
"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein
"“You don't love someone because they're perfect, you love them in spite of the fact that they're not.”","Jodi Picoult,"
"“If you live to be a hundred, I want to live to be a hundred minus one day so I never have to live without you.”","Joan Powers,"
"“People think a soul mate is your perfect fit, and that's what everyone wants. But a true soul mate is a mirror, the person who shows you everything that is holding you back, the person who brings you to your own attention so you can change your life. A true soul mate is probably the most important person you'll ever meet, because they tear down your walls and smack you awake. But to live with a soul mate forever? Nah. Too painful. Soul mates, they come into your life just to reveal another layer of yourself to you, and then leave. A soul mates purpose is to shake you up, tear apart your ego a little bit, show you your obstacles and addictions, break your heart open so new light can get in, make you so desperate and out of control that you have to transform your life, then introduce you to your spiritual master...”","Elizabeth Gilbert,"
"“Love never dies a natural death. It dies because we don't know how to replenish its source. It dies of blindness and errors and betrayals. It dies of illness and wounds; it dies of weariness, of witherings, of tarnishings.”",Anais Nin
"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”","J.D. Salinger,"
“Not all those who wander are lost.”,"J.R.R. Tolkien,"
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Alfred Tennyson
"“It matters not what someone is born, but what they grow to be.”","J.K. Rowling,"
"“Saying 'I notice you're a nerd' is like saying, 'Hey, I notice that you'd rather be intelligent than be stupid, that you'd rather be thoughtful than be vapid, that you believe that there are things that matter more than the arrest record of Lindsay Lohan. Why is that?' In fact, it seems to me that most contemporary insults are pretty lame. Even 'lame' is kind of lame. Saying 'You're lame' is like saying 'You walk with a limp.' Yeah, whatever, so does 50 Cent, and he's done all right for himself.”",John Green
"“If you can make a woman laugh, you can make her do anything.”",Marilyn Monroe
"“We’re all a little weird. And life is a little weird. And when we find someone whose weirdness is compatible with ours, we join up with them and fall into mutually satisfying weirdness—and call it love—true love.”","Robert Fulghum,"
"“I wish it need not have happened in my time,"" said Frodo. ""So do I,"" said Gandalf, ""and so do all who live to see such times. But that is not for them to decide. All we have to decide is what to do with the time that is given us.”","J.R.R. Tolkien,"
“The difference between genius and stupidity is: genius has its limits.”,Alexandre Dumas-fils
“It is what you read when you don't have to that determines what you will be when you can't help it.”,Oscar Wilde
"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”","Terry Pratchett,"
“Do one thing every day that scares you.”,Eleanor Roosevelt
"“I would venture to guess that Anon, who wrote so many poems without signing them, was often a woman.”","Virginia Woolf,"
“Reality continues to ruin my life.”,"Bill Watterson,"
“Some infinities are bigger than other infinities.”,"John Green,"
"“You don’t have a soul, Doctor. You are a soul. You have a body, temporarily.”","Walter M. Miller Jr.,"
"“One must always be careful of books,"" said Tessa, ""and what is inside them, for words have the power to change us.”","Cassandra Clare,"
“Time you enjoy wasting is not wasted time.”,"Marthe Troly-Curtin,"
“Things change. And friends leave. Life doesn't stop for anybody.”,"Stephen Chbosky,"
"“If there's a book that you want to read, but it hasn't been written yet, then you must write it.”",Toni Morrison
"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”","Jane Austen,"
"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”","C.S. Lewis,"
"“There is no pretending,"" Jace said with absolute clarity. ""I love you, and I will love you until I die, and if there is life after that, I'll love you then.”","Cassandra Clare,"
“Who are you to judge the life I live? I know I'm not perfect -and I don't live to be- but before you start pointing fingers... make sure you hands are clean!”,Bob Marley
“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,Marilyn Monroe
“The only way out of the labyrinth of suffering is to forgive.”,"John Green,"
"“I can never read all the books I want; I can never be all the people I want and live all the lives I want. I can never train myself in all the skills I want. And why do I want? I want to live and feel all the shades, tones and variations of mental and physical experience possible in my life. And I am horribly limited.”","Sylvia Plath,"
“The books that the world calls immoral are books that show the world its own shame.”,"Oscar Wilde,"
"“And, when you want something, all the universe conspires in helping you to achieve it.”","Paulo Coelho,"
"“When someone loves you, the way they talk about you is different. You feel safe and comfortable.”","Jess C. Scott,"
“Go to heaven for the climate and hell for the company.”,Benjamin Franklin Wade
“The reason I talk to myself is because I’m the only one whose answers I accept.”,George Carlin
"“Piglet sidled up to Pooh from behind. ""Pooh!"" he whispered. ""Yes, Piglet?"" ""Nothing,"" said Piglet, taking Pooh's paw. ""I just wanted to be sure of you.”","A.A. Milne,"
"“He's like a drug for you, Bella.”","Stephenie Meyer,"
"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”","J.K. Rowling,"
“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,Ernest Hemingway
"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",Marilyn Monroe
"“Dumbledore watched her fly away, and as her silvery glow faded he turned back to Snape, and his eyes were full of tears. ""After all this time?"" ""Always,"" said Snape.”","J.K. Rowling,"
"“You should date a girl who reads. Date a girl who reads. Date a girl who spends her money on books instead of clothes, who has problems with closet space because she has too many books. Date a girl who has a list of books she wants to read, who has had a library card since she was twelve. Find a girl who reads. You’ll know that she does because she will always have an unread book in her bag. She’s the one lovingly looking over the shelves in the bookstore, the one who quietly cries out when she has found the book she wants. You see that weird chick sniffing the pages of an old book in a secondhand book shop? That’s the reader. They can never resist smelling the pages, especially when they are yellow and worn. She’s the girl reading while waiting in that coffee shop down the street. If you take a peek at her mug, the non-dairy creamer is floating on top because she’s kind of engrossed already. Lost in a world of the author’s making. Sit down. She might give you a glare, as most girls who read do not like to be interrupted. Ask her if she likes the book. Buy her another cup of coffee. Let her know what you really think of Murakami. See if she got through the first chapter of Fellowship. Understand that if she says she understood James Joyce’s Ulysses she’s just saying that to sound intelligent. Ask her if she loves Alice or she would like to be Alice. It’s easy to date a girl who reads. Give her books for her birthday, for Christmas, for anniversaries. Give her the gift of words, in poetry and in song. Give her Neruda, Pound, Sexton, Cummings. Let her know that you understand that words are love. Understand that she knows the difference between books and reality but by god, she’s going to try to make her life a little like her favorite book. It will never be your fault if she does. She has to give it a shot somehow. Lie to her. If she understands syntax, she will understand your need to lie. Behind words are other things: motivation, value, nuance, dialogue. It will not be the end of the world. Fail her. Because a girl who reads knows that failure always leads up to the climax. Because girls who read understand that all things must come to end, but that you can always write a sequel. That you can begin again and again and still be the hero. That life is meant to have a villain or two. Why be frightened of everything that you are not? Girls who read understand that people, like characters, develop. Except in the Twilight series. If you find a girl who reads, keep her close. When you find her up at 2 AM clutching a book to her chest and weeping, make her a cup of tea and hold her. You may lose her for a couple of hours but she will always come back to you. She’ll talk as if the characters in the book are real, because for a while, they always are. You will propose on a hot air balloon. Or during a rock concert. Or very casually next time she’s sick. Over Skype. You will smile so hard you will wonder why your heart hasn’t burst and bled out all over your chest yet. You will write the story of your lives, have kids with strange names and even stranger tastes. She will introduce your children to the Cat in the Hat and Aslan, maybe in the same day. You will walk the winters of your old age together and she will recite Keats under her breath while you shake the snow off your boots. Date a girl who reads because you deserve it. You deserve a girl who can give you the most colorful life imaginable. If you can only give her monotony, and stale hours and half-baked proposals, then you’re better off alone. If you want the world and the worlds beyond it, date a girl who reads. Or better yet, date a girl who writes.”",Rosemarie Urquico
“You don’t forget the face of the person who was your last hope.”,"Suzanne Collins,"
“′Classic′ - a book which people praise and don't read.”,Mark Twain
"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",John Lennon
"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",Marilyn Monroe
“I am free of all prejudice. I hate everyone equally. ”,W.C. Fields
“I've been making a list of the things they don't teach you at school. They don't teach you how to love somebody. They don't teach you how to be famous. They don't teach you how to be rich or how to be poor. They don't teach you how to walk away from someone you don't love any longer. They don't teach you how to know what's going on in someone else's mind. They don't teach you what to say to someone who's dying. They don't teach you anything worth knowing.”,"Neil Gaiman,"
“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,Ralph Waldo Emerson
"“He has achieved success who has lived well, laughed often, and loved much; Who has enjoyed the trust of pure women, the respect of intelligent men and the love of little children; Who has filled his niche and accomplished his task; Who has never lacked appreciation of Earth's beauty or failed to express it; Who has left the world better than he found it, Whether an improved poppy, a perfect poem, or a rescued soul; Who has always looked for the best in others and given them the best he had; Whose life was an inspiration; Whose memory a benediction.”","Bessie Anderson Stanley,"
“I love mankind ... it's people I can't stand!!”,Charles M. Schulz
“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,"Harper Lee,"
“I have never let my schooling interfere with my education.”,Mark Twain
“The marks humans leave are too often scars.”,"John Green,"
“Some day you will be old enough to start reading fairy tales again.”,C.S. Lewis
"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”","Jane Austen,"
"“We are what we pretend to be, so we must be careful about what we pretend to be.”","Kurt Vonnegut,"
"“Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure. It is our light, not our darkness that most frightens us. We ask ourselves, 'Who am I to be brilliant, gorgeous, talented, fabulous?' Actually, who are you not to be? You are a child of God. Your playing small does not serve the world. There is nothing enlightened about shrinking so that other people won't feel insecure around you. We are all meant to shine, as children do. We were born to make manifest the glory of God that is within us. It's not just in some of us; it's in everyone. And as we let our own light shine, we unconsciously give other people permission to do the same. As we are liberated from our own fear, our presence automatically liberates others.”","Marianne Williamson,"
"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”","Suzanne Collins,"
“Books are a uniquely portable magic.”,"Stephen King,"
"“And in that moment, I swear we were infinite.”","Stephen Chbosky,"
“To die will be an awfully big adventure.”,"J.M. Barrie,"
“Anyone who has never made a mistake has never tried anything new.”,Albert Einstein
"“It’s no use going back to yesterday, because I was a different person then.”",Lewis Carroll
“The truth is rarely pure and never simple.”,"Oscar Wilde,"
“What a slut time is. She screws everybody.”,"John Green,"
"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”","Jimi Hendrix,"
“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini
“It takes courage to grow up and become who you really are.”,E.E. Cummings
"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",Madeleine L'Engle
"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”",C.S. Lewis
"“So it's not gonna be easy. It's going to be really hard; we're gonna have to work at this everyday, but I want to do that because I want you. I want all of you, forever, everyday. You and me... everyday.”","Nicholas Sparks,"
“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,Mark Twain
“I must not fear. Fear is the mind-killer. Fear is the little-death that brings total obliteration. I will face my fear. I will permit it to pass over me and through me. And when it has gone past I will turn the inner eye to see its path. Where the fear has gone there will be nothing. Only I will remain.”,"Frank Herbert,"
"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”","George R.R. Martin,"
"“We believe in ordinary acts of bravery, in the courage that drives one person to stand up for another.”","Veronica Roth,"
“Memories warm you up from the inside. But they also tear you apart.”,"Haruki Murakami,"
“Books are the ultimate Dumpees: put them down and they’ll wait for you forever; pay attention to them and they always love you back.”,"John Green,"
"“There is nothing better than a friend, unless it is a friend with chocolate.”",Linda Grayson
"“[Dean] “My dear fellow, who will let you?” [Roark] “That’s not the point. The point is, who will stop me?”","Ayn Rand,"
"“There are infinite numbers between 0 and 1. There's .1 and .12 and .112 and an infinite collection of others. Of course, there is a bigger infinite set of numbers between 0 and 2, or between 0 and a million. Some infinities are bigger than other infinities. A writer we used to like taught us that. There are days, many of them, when I resent the size of my unbounded set. I want more numbers than I'm likely to get, and God, I want more numbers for Augustus Waters than he got. But, Gus, my love, I cannot tell you how thankful I am for our little infinity. I wouldn't trade it for the world. You gave me a forever within the numbered days, and I'm grateful.”","John Green,"
"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”","J.K. Rowling,"
“A lie can travel half way around the world while the truth is putting on its shoes.”,Mark Twain
“Knowing yourself is the beginning of all wisdom.”,Aristotle
“Never tell the truth to people who are not worthy of it.”,Mark Twain
"“I love you as certain dark things are to be loved, in secret, between the shadow and the soul.”","Pablo Neruda,"
“Perhaps one did not want to be loved so much as to be understood.”,"George Orwell,"
“It's the possibility of having a dream come true that makes life interesting.”,"Paulo Coelho,"
“Tis better to have loved and lost Than never to have loved at all.”,"Alfred Lord Tennyson,"
"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”","J.K. Rowling,"
“Only the very weak-minded refuse to be influenced by literature and poetry.”,"Cassandra Clare,"
"“Just when you think it can't get any worse, it can. And just when you think it can't get any better, it can.”","Nicholas Sparks,"
